author,date,time,comment
@user-xq4jr3fb3p,2023-12-08,2023-12-08T09:07:04Z,"Бкдут суды надемся на это, Нам уже не когда не  быть нормальными, нас будет осуждать весь мир, Режим пришел во власть ,Гитлер точно так де пришел во власть что произашло"
@vitalybolotsky1468,2023-12-07,2023-12-07T14:17:46Z,Из декабря 2023. Трэш продолжается и прогрессирует. Трупов всё больше. Вероятность распада россии теперь признаёт даже неизлечимый оптимист Кац. Так и живём.
@Born_to_USSR,2023-12-07,2023-12-07T06:14:45Z,"То есть получается РУсские зашли в аэропорт Гостомель , и сами себя ебашили ????  <br>Или стоя на яблонской , передали по рации чтоб их свои же ебашили ??? <br>чудеса"
@user-rr2fi8ki4d,2023-12-04,2023-12-04T20:50:27Z,"Ничего бы не было! Если правительство Украины признало свои ошибки по отношению к Русским и свалило бы к своему господину за океан! Не один бы дом в Украине не пострадал!!! Россия только одного хотела нейтралитета Украины как Швейцарии! Но нет, вы сами выбрали свой путь! То не надо скулить!"
@minahemliberman,2023-12-03,2023-12-03T11:20:50Z,"Этот ролик власти Путинского террористического государства объявили фейком, значит, он точно правдив"
@mrbv6432,2023-12-02,2023-12-02T02:46:13Z,"Всех ждет кара, живых или мертвых."
@I_love_shwezeland,2023-11-30,2023-11-30T16:47:40Z,Жалко мирных жителей😢 Всем мира и добра
@Islamhanov06,2023-11-29,2023-11-29T08:15:18Z,😂😂😂😂😂
@Alexandro1993,2023-11-28,2023-11-28T12:07:18Z,"Буча фейк, Кац вали к своим побратимам пейсатым!"
@Rusya-Sagitov,2023-11-27,2023-11-27T17:46:21Z,Таки да.Израилю зато можно.А это же другое.
@user-ow4ok5ve3m,2023-11-27,2023-11-27T16:52:51Z,Хозлы сами растреляли своих же жителей.
@user-jg6zz2ms5l,2023-11-27,2023-11-27T14:17:39Z,Ты на кого батон крошишь? Мойша Израилевич!
@Maks-oi1wp,2023-11-25,2023-11-25T08:15:23Z,Слава России!!! Работайте братья. До последнего чубатого
@Maks-oi1wp,2023-11-25,2023-11-25T08:13:06Z,Давно доказано что бучу устроили укронацисты
@user-uq2ge6ev7e,2023-11-23,2023-11-23T07:05:57Z,Странные «настоящие» журналисты. Однобоко информацию подают. Ни слова о работе натовского спецназа в этих городах и о массированных бомбардировках этих городов со стороны Украины.
@aveabsurdus,2023-11-22,2023-11-22T23:21:57Z,Толи дело Изгаиль..
@user-lo4qw5jr8f,2023-11-22,2023-11-22T21:14:07Z,Россия щедрое душа 🇦🇿❤️🇷🇺
@user-tp3rp9oc4i,2023-11-21,2023-11-21T23:15:00Z,"Господи, убери  уже этот зловонный труп, он так давно умер..."
@user-cc8nn1ql9d,2023-11-19,2023-11-19T07:03:15Z,Вчера - это когда? Вечер 1 апреля?
@andreylvov9372,2023-11-19,2023-11-19T05:09:23Z,Брехня … а вот Кац заплатит за инсценировку
@user-vd9bi4xq4w,2023-11-18,2023-11-18T20:53:48Z,"Боже,боже мой….😭"
@Makpyxa85,2023-11-18,2023-11-18T19:36:25Z,Дада да .... пиз.ть не мешки ворочить! Я понимаю что доказывать тут бесполезно... Просто ответьте кто нить мне на вопрос... Если Российская Федерация агрессор то посему же её ни кто не идёт останавливать? П.с. Если бы мы не жалели ни кого как поёт этот пизд..ол на видео то попросту этого видео а может даже и его самого не было бы.
@user-pt4fj9ee1m,2023-11-16,2023-11-16T20:50:09Z,Ужас😢😢😢😢
@Qwertyname-gy7kc,2023-11-15,2023-11-15T15:54:56Z,"Это трагедия, но не стоит из-за этого обвинять всех русских."
@Silpok,2023-11-13,2023-11-13T21:38:00Z,"После того, как русская армия покинула Бучу, мэр бучи выступил и сказал, что в Буче все нормально, Буча вернулась к мирной жизни. Через 5 дней, после этого, по ОДНОЙ улице Бучи, проехали автомобили с украинскими военными и корреспондентами и засняли, убитых людей, лежавших по обе стороны ОДНОЙ дороги, в Буче.<br>Все люди, которых снимали на камеры лежали лицами вниз.<br>После того, как Украина начала раскручивать эту, медиа историю, с Бучей, Россия обратилась к Украине, через ООН, и попросила предоставить списки, всех убитых в Буче.<br>И Украина, эти списки.... НЕ ПРЕДОСТАВИЛА, до сих пор.<br>Более того, вы слышали, где похоронили убитых, из Бучи?<br>Не слышали?<br>А знаете, почему?<br>Потому, что НИКТО не знает, где их похоронили.<br>Скорее всего, сразу после этих, западных, репортеров, приехали грузовики, в которые собрали все трупы.<br>Отвезли в ближайший лес, бульдозерами выкопали канаву и всех их, туда скинули, и землей засыпали.<br>У этих людей были: семьи, дети, родственники, которые никогда не узнают, что случилось с их близкими, потому, что Украина, после того как эти трупы засняли западные СМИ, СКРЫЛА все, с ними связанное.<br>Все ещё думаете, что это российская армия устроила, в Буче, резню?<br>Уверены, что вас не обманули?"
@handman.9.10.11,2023-11-13,2023-11-13T15:14:01Z,"иде иди и смти, дя мея и мей семи не змжн дежат эту йну."
@antonio_pripizduchi1786,2023-11-09,2023-11-09T09:46:05Z,"Даже локации в &quot;метро 2033&quot; и &quot;Сталкер&quot; выглядят краше Бучи, и после этого Российские власти утверждают что не трогали в буче не единого листочка? В городе камня на камне не осталось &quot;но мы не трогали оно само!&quot;"
@Eazy_dnm,2023-11-06,2023-11-06T01:46:02Z,Го
@arthurmorgan8886,2023-11-05,2023-11-05T18:23:59Z,Кац тебя собачка заждалась!)))
@izumrudemerald,2023-11-03,2023-11-03T23:34:22Z,"Ирак - свидетельство преступлений США, Вьетнам - свидетельство преступлений сша"
@ahmetfayzi6457,2023-11-01,2023-11-01T05:37:19Z,"Максим , сейчас , когда уже туман рассеялся и стало понятно что мирняк убит украинцами , что это провокация СБУ , не считаешь ли ты нужным снять новое видео по этому поводу?"
@ljudmilaberg2757,2023-10-29,2023-10-29T22:05:55Z,лжецы
@user-qn6hc2hz3e,2023-10-27,2023-10-27T20:35:55Z,Прям голливудские сьемки
@user-ql2nr8sl9i,2023-10-26,2023-10-26T15:28:06Z,"Хватит врать, все это фейки..."
@lancelot7260,2023-10-25,2023-10-25T13:22:05Z,"Решил написать, может кто ответит. Я не являюсь прям ярым защитником России, но некоторые моменты меня очень смущают. Скорее всего много из этих вопросов можно услышать от пропагандистов с Российской стороны но все же.<br>Почему была обстреляна сама буча(со стороны Украины), когда там были мирные жители? <br>Почему никто так и не завел дело по всей этой истории? Ни одного дело про изнасилование, хотя что там рассказывают(Украинцы) там кажется все что можно изнасиловали? <br>Так же небыли допущены следственные группы с других стран?( Хотя могу ошибаться, если не так поправьте)<br>Это уже такой вопрос специфический, но почему удаляют практически ВСЕ опровержения с Российско стороны на ютубе и других медиа площадок не принадлежащих России, а про Украинские медиа наоборот продвигаю( очень как то странно получается). <br>Вот мои вопросы может быть еще что-нибудь добавлю по ходу дела. Кто хочет подискутировать милости прошу. Только пожалуйста без оскорблений."
@Kle_veR-4L,2023-10-25,2023-10-25T11:18:29Z,Да уж... Это пиздец
@user-co8oz9th3c,2023-10-24,2023-10-24T20:40:31Z,ТАК ГДЕ ЗВЕРСТВО РОССИЙСКИХ СОЛДАТ? ГДЕ ОНИ НАСИЛУЮТ СТАРИКОВ ДЕТЕЙ??? ГДЕЕЕ????? ПОКАЖИИИ… ТОЛЬКО ЧТО МОЖЕШЬ ЭТО ПИЗДЕТЬ….. ТВОИ ЗЕМЛЯКИ ВОТ ЭТО НАСТОЯЩИЕ ЗВЕРИ.
@Sir04ek,2023-10-24,2023-10-24T17:15:52Z,Сектор газа 😐
@dimavladi5013,2023-10-21,2023-10-21T23:16:08Z,Нефейковая Буча в бандеровских застенках
@adamslr2711,2023-10-21,2023-10-21T13:53:57Z,ZV
@alexeyivanov5713,2023-10-21,2023-10-21T06:54:03Z,"Мойша, прочитай расследование журналистов  The Guardian от 24 апреля 2022 года. <br>The Guardian<br>&quot;Десятки мирных жителей Бучи были убиты металлическими дротиками российской артиллерии<br>Судебно – медицинские врачи обнаруживают флехеты, редко используемые в современной войне, в телах, найденных в массовых захоронениях. <br>Десятки мирных жителей, погибших во время российской оккупации украинского города Буча, были убиты крошечными металлическими стрелами от снарядов типа, выпущенных российской артиллерией, сообщили судмедэксперты.<br>Патологоанатомы и коронеры, которые проводят вскрытие тел, найденных в массовых захоронениях к северу от Киева, где оккупационные российские войска обвиняются в зверствах, заявили, что обнаружили маленькие металлические дротики, называемые флехетами, воткнутые в головы и грудь людей.&quot;<br><br>Только один нюанс. Российская армия не обстреливала Бучу из артиллерии.  Это всу вели артиллерийский огонь по позициям РА. Т.е все эти показушные, так называемые  &quot;зверства&quot; - результат обстрела всу. Да им и не привыкать убивать своих граждан с 2014 года."
@Alex-mi4bb,2023-10-20,2023-10-20T11:00:36Z,"А ухоженные памятники погибшим во второй мировой в Буче этим рашистам ничего не говорили? Мы только членинов выкидывали, в качестве благодарности за коллективизацию и голодомор. Кстати, нужно рсуких обязать выкупить и вывезти всех членинов из Украины."
@Alex-mi4bb,2023-10-20,2023-10-20T10:48:14Z,"Мне вспоминается такой прорашистский персонаж, Ржавский его фамилие. Бывший депутат Рады, топил за фашистскую рашку. Сам он был из Краматорска, но жил в Буче. И как-то раз он сказал рсукому оккупанту, который пришел за бухлом, что водки нет. И сразу же получил от рсуко-фашистского оккупанта маслину. Я надеюсь что он помучался, перед тем как коньки откинуть. Очень показательный пример, про поручика, т.е. бывшего депутана Ржавского даже статья в Вики есть.  Пользуясь случаем передаю привет его семье, смешно получилось :)"
@user-cp3ri4vd5h,2023-10-20,2023-10-20T10:05:04Z,что то нет у пацанов шевронов как то странно у Русских шевроны есть тем более у военных даже у вагнеровцев есть и они не имеют право их снимать. Во вторых они не дебилы что б палится перед камерой  зная что их ждет на родине . Хватит России все приписывать
@user-oc6wy6xh1s,2023-10-17,2023-10-17T07:38:49Z,Каким то п.. здежом попахивает
@user-oc6wy6xh1s,2023-10-17,2023-10-17T07:36:16Z,"Чет все комменты однотипные, что еще больше похоже на фэйк и раздувательство"
@user-oc6wy6xh1s,2023-10-17,2023-10-17T07:33:56Z,"Ну судя по тому, что Киев долбил Донбасс 8 лет,я думаю на ровне"
@atlante864,2023-10-15,2023-10-15T22:49:11Z,привет от легиткени
@alexeyivanov5713,2023-10-15,2023-10-15T19:27:09Z,"Мойша, не хочешь снять репортаж о гибели мирных граждан на Донбассе? Или это дГугое?<br>Сейчас евреи уничтожают мирных граждан в Палестине тысячами. Не оправдываю терористов хамаса. Они как бешеные собаки и их путь должен закончится. Но как же быть с умными и великонравственными евреями? Кто дал вам право убивать людей?<br>Буча - постановка и ты об этом прекрасно знаешь. <br>Надеюсь, твоей лживой личности никогда не будет на моей земле."
@dimadmitriev2028,2023-10-15,2023-10-15T06:36:48Z,Мц. Ты врёшь.
@GalSpan,2023-10-13,2023-10-13T10:12:46Z,"Кац, цех, хуцпа..."
@Izolda_Vir,2023-10-13,2023-10-13T08:59:43Z,Бред 🤦🏻‍♀️ нахер русским военным вы нужны вас убивать 🤦🏻‍♀️🤦🏻‍♀️ вас убивают «ваши» же ‼️‼️ за содействие за общение за помощь нашим военным 🤷‍♀️
@user-pd4hl9ov6l,2023-10-12,2023-10-12T09:20:38Z,Привет из будущего! Вы еще ХАМАС не видели!
@user-gf8eq4og1f,2023-10-12,2023-10-12T08:50:59Z,😢😢😢
@user-bc9rf6ud5w,2023-10-11,2023-10-11T16:02:04Z,палестина израельскай канфликт показал что бача сфабрекована где видео даказательства аааааааааааааааа
@52RK,2023-10-10,2023-10-10T04:43:03Z,"Посмотрел второй раз, первый раз смотрел в день выхода этого ролика где-то в апреле или может мае.<br><br>Честно говоря, когда я смотрел его тогда, я прослезился. Сейчас это всё вызывает тяжелое чувство, какой-то ноши. Несмываемого позора. Сожаления. Но чувства той боли и ужаса которая была более года назад уже нет. Эта война нормализировалась. Все мы стали другими. <br><br>Максим об этом и говорил и 24 февраля, и через неделю после начала когда Украинцы кормили русских солдат, и ругали как заблудившихся котят, что это отношение изменится. Что будет происходить расчеловечивание друг друга. Что наше общество привыкнет к насилию даже среди своих. Интересно справимся ли мы с этим когда нибудь?"
@user-fo6rk8uv5d,2023-10-09,2023-10-09T20:45:18Z,"Кац, расскажи про евреев, убивающих мирных жителей."
@user-ld8de1ph8v,2023-10-09,2023-10-09T18:09:58Z,евреи и украинцы сегодня в наше время прям образцовые нацисты и фашисты
