author,date,time,comment
@imgordon4748,2022-04-06,2022-04-06T12:45:01Z,"Кошмар, и находятся-же ублюдки, что прямо сейчас кричат в коментах что это не правда😔😔😔😔.  Русским гражданам пора приготовится РУСОФОБМЯ теперь будет преследовать их долгие годы."
@user-bp5lm7wb2p,2022-04-06,2022-04-06T12:33:53Z,"Максим, ты перестал подходить ко всему с критической точки зрения, позиция у тебя одна, виноваты силы РФ и точка. То что РФ захватчики да, они виноваты, но где доказательства что эти люди погибли от ракет РФ? <br>Очень жаль что ты не разбираешь, а сразу судишь."
@user-dp1cl1hr9d,2022-04-06,2022-04-06T12:27:11Z,А сколько детей украли и вывезли в россию.<br>А сколько детей изнасиловали.<br>Будут гореть в АДУ.<br>И созданное подразделение по поиску военных преступников найдёт всех.
@Kleolika,2022-04-06,2022-04-06T12:27:07Z,"Хочется выть в голос от этой безумной боли! Когда я хоть на одну секунду представляю, что испытали эти люди, мне кажется, что меня просто разорвёт от ужаса. Господи, помоги остановить это безумие!"
@user-uq6yh8de3g,2022-04-06,2022-04-06T12:25:39Z,Четыре слова в поддержку поста 🇺🇦🇺🇦🇺🇦
@user-uq6yh8de3g,2022-04-06,2022-04-06T12:25:28Z,Четыре слова в поддержку поста 🇺🇦🇺🇦🇺🇦
@user-od8vj5mf7i,2022-04-06,2022-04-06T12:25:20Z,Спасибо Максим! За работу!  Спасибо Комарику за снятие репортажа на месте! Шок... Больно...
@user-uq6yh8de3g,2022-04-06,2022-04-06T12:25:18Z,Четыре слова в поддержку поста 🇺🇦🇺🇦🇺🇦
@user-uq6yh8de3g,2022-04-06,2022-04-06T12:25:09Z,Четыре слова в поддержку поста 🇺🇦🇺🇦🇺🇦
@user-uq6yh8de3g,2022-04-06,2022-04-06T12:24:59Z,Четыре слова в поддержку поста 🇺🇦🇺🇦🇺🇦
@user-uq6yh8de3g,2022-04-06,2022-04-06T12:24:50Z,Четыре слова в поддержку поста 🇺🇦🇺🇦🇺🇦
@user-uq6yh8de3g,2022-04-06,2022-04-06T12:24:33Z,Четыре слова в поддержку поста 🇺🇦🇺🇦🇺🇦
@user-uq6yh8de3g,2022-04-06,2022-04-06T12:24:14Z,Четыре слова в поддержку поста 🇺🇦🇺🇦🇺🇦
@user-uq6yh8de3g,2022-04-06,2022-04-06T12:23:41Z,Четыре слова в поддержку поста 🇺🇦🇺🇦🇺🇦
@user-uq6yh8de3g,2022-04-06,2022-04-06T12:23:30Z,Четыре слова в поддержку поста 🇺🇦🇺🇦🇺🇦
@user-uq6yh8de3g,2022-04-06,2022-04-06T12:23:20Z,Четыре слова в поддержку поста 🇺🇦🇺🇦🇺🇦
@chizhulia,2022-04-06,2022-04-06T12:19:29Z,а потом эти суки приедут в Россию.. они будут жить с нами. тошно. гадко. больно.
@liluo.2881,2022-04-06,2022-04-06T12:14:45Z,Дякую за правду!
@v1olent_off282,2022-04-06,2022-04-06T12:13:04Z,"никого не смущает что 2 апреля войск рф уже не было, и никто ни про какие трупы не говорил, даже тг каналы в этот день ничего не выкладывали а уже 3 резко появились трупы, да и нац гвардия которая первая вошла в город так же ничего не заметила и 1 и 2 числа а вот 3...."
@Paidalycontent,2022-04-06,2022-04-06T12:12:25Z,"остановитесь русские вы становитесь фашистами, наши предки вместе против них воевали"
@retro3665,2022-04-06,2022-04-06T11:51:45Z,Казнь связанных пленных в большом количестве мы видели в исполнении украинцев. Автор видео тактично умолчал.
@Trollik1991,2022-04-06,2022-04-06T11:48:19Z,классно коменты удаляешь правда глаза щипит? я даже не оскорблял вас
@grisha6578,2022-04-06,2022-04-06T11:41:24Z,Смотрите фильм Нечаяно
@murlotv1557,2022-04-06,2022-04-06T11:19:57Z,Так это вроде постанова? Русские ушли из бучи дня 4-5 назад до появления этих тел на дороге
@user-po5rn8bv8m,2022-04-06,2022-04-06T11:14:12Z,"Хатынь спалил украинец Григорий Васюра(и там были дети 7 недель отроду) , посмотрела 40 секунд дальше смотреть даже не буду промывкой мозгов попахивает."
@user-dz9jy3xc7x,2022-04-06,2022-04-06T11:13:24Z,Обычный пропагандон. И хайп на костях.
@user-zg9kk4wk6m,2022-04-06,2022-04-06T11:13:10Z,"Спасибо что рассказываете эту ужасную правду. Хочется не видеть этого, не осознавать, но просто нужно."
@user-qc2eh5ww8r,2022-04-06,2022-04-06T11:07:41Z,"солнце  очнись, нацисты и фашисты этот русские - признано всей планетой. Если не понял , то ты слабоуменнн..."
@sanyagu4948,2022-04-06,2022-04-06T11:04:32Z,"Просто нет слов,чтобы описать ту охинею которую несёт Кац и прочие медиа либералов и запада в последние дни. Кто в эту херню верит? Люди мозг включайте,все Вы стали жертвами украинской пропаганды"
@ingawinski,2022-04-06,2022-04-06T11:03:49Z,😭😭😭😭😭😭🇺🇦😭😭😭😭😭😭
@ingawinski,2022-04-06,2022-04-06T11:01:02Z,"Это очень страшно, но людям проще написать фейки, потому что не хотят признать, что это их народ сделал с другим народом"
@igorrewa1652,2022-04-06,2022-04-06T11:00:46Z,"Не получив побед над украинской армией, подонки без чести убивали гражданских людей. Щас говорят о Буче и Киевской области но подобное сейчас проходит в Херсоне и Херсонской окупированой рос войсками, Мариуполе и его окраинах, Запорожской области. Я бил в городе Тростянец и там самолично видел 2 убитих гражданских. И таких кейсов походу тисячи."
@kotik_,2022-04-06,2022-04-06T11:00:26Z,"Себе снизил качество видео до 144p, на моментах с кадрами из Бучи. Просто для сохранения сна. Людям, на тех фотографиях, сны больше не приснятся."
@kotik_,2022-04-06,2022-04-06T10:56:34Z,"Человек погибший на велосипеде - не фейк. Мог прилететь снаряд, и моментально поразить осколком велосипедиста."
@naimanssb6215,2022-04-06,2022-04-06T10:40:51Z,Россия никогда не была нормальной страной
@uckmaayskii6835,2022-04-06,2022-04-06T10:40:20Z,Наши деды и бабушки нас прокляли бы!
@user-id5wh2dt3e,2022-04-06,2022-04-06T10:30:36Z,ужас
@Ilja.Kiriljuk,2022-04-06,2022-04-06T10:30:12Z,"Я вот сколько смотрю, а глаза на мокром месте. Не могу спокойно смотреть на это ("
@user-cw4km1lx4y,2022-04-06,2022-04-06T10:28:44Z,"И ты максим повелся на это фыйк , раньше я тебе верила , видимо ты забыл про бабий яр и кто там лежит и кто растреливал евреев ."
@user-bw9uk4zx6l,2022-04-06,2022-04-06T10:25:56Z,"Скажите Максим а зачем при отступлении убивать мирных жителей ? Может проще было отбомбить территорию вместе с ВСУ , все равно мирных не жалко . Такое впечатление что мирных жителей убивали те кто пришел после Российских войск . Кому выгодна смерть этих людей ? Явно не Российским войскам . А вот для пресс конференции Зеленского вполне подходящая &quot;картинка &quot;. И сразу мировое сообщество отправляет военную помощь . Кто то сделал грязную работу , расстрелял мирных жителей , разложил тела . А мародеров везде хватает . И в ВСУ тоже ."
@user-di9ny3hg7e,2022-04-06,2022-04-06T10:25:37Z,автор ты сам кто по наций?
@user-yv2yj6ff7b,2022-04-06,2022-04-06T10:15:12Z,"Сука бля все пытаются из русских убиц сделать , вы бля сами украинцы сколько лет убивали и спросу с вас не было ,теперь получайте по заслугам побежали к американцам как мышки от своего братского народа раменяли жизнь настоящию на деньги , но а сила та в правде"
@natalyakirilova1103,2022-04-06,2022-04-06T10:11:23Z,еврейская и американская пропаганда! пусть все об этом знают!
@natalyakirilova1103,2022-04-06,2022-04-06T10:08:48Z,"не верю в это, бред какой-то!!! я сама служила, вы всё врёте!!!"
@user-gl1zs5gb7i,2022-04-06,2022-04-06T10:05:10Z,"От армии отмазать своих детей сейчас не трудно. Есть куча законных и не очень способов. Родители в армию отправляют сознательно, своих неуправляемых детей, в надежде, что армия их исправит."
@schmidteduard9805,2022-04-06,2022-04-06T09:51:58Z,Max Respekt за твою позицию .100000000 лайков тебе
@user-uo3ym9xl9j,2022-04-06,2022-04-06T09:36:53Z,"Почему все так удивляются жестокости россиян. Еще Горький все о них написал (при всем негативном отношении к сему персонажу)  цитирую: &quot;Я думаю, что русскому народу исключительно — такъ же исключительно, какъ англичанину чувство юмора — свойственно чувство особенной жестокости, хладнокровной и какъ бы спытывающей предѣлы человѣческаго терпѣнія къ боли, какъ бы изучающей цѣпкость, стойкость жизни. Въ русской жестокости чувствуется дьявольская изощренность, въ ней есть нѣчто тонкое, изысканное. Это свойство едва ли можно объяснить словами психозъ, садизмъ, словами, которыя, въ сущности, и вообще ничего не объясняютъ. Наслѣдіе алкоголиз­ма? Не думаю, чтобъ русскій народъ былъ отравленъ ядомъ алкоголя болѣе другихъ на­родовъ Европы, хотя допустимо, что при плохомъ питаніи русскаго крестьянства ядъ алкоголя дѣйствуетъ на психику сильнѣе въ Россіи, чѣмъ въ другихъ странахъ, гдѣ питаніе народа обильнѣе и разнообразнѣе. Можно допустить, что на развитіе затѣйливой жестокости вліяло чтеніе житій святыхъ великомучениковъ, — любимое чтеніе грамотеевъ въ глухихъ деревняхъ. Если бъ факты жестокости являлись выраженіемъ извращенной психологіи единицъ, — о нихъ можно было не говорить, въ этомъ случаѣ они матеріалъ психіатра, а не бытописателя. Но я имѣю въ виду только коллективныя забавы муками человѣка.&quot; (М. Горький, О русском крестьянстве)"
@imereli,2022-04-06,2022-04-06T09:30:51Z,I kto vsevo posle etava fashisti? Ruskaia tak nazivaemaua armia eta ubici sadisti i maradiori
@user-dw2ll2sn4t,2022-04-06,2022-04-06T09:08:41Z,Единственная честь для российских офицеров - засьтрелиться
@user-ib4lb3ol4w,2022-04-06,2022-04-06T09:06:14Z,Мы пока всей сути не знаем. Украина заинтересована сейчас показать уродство России. Россия заинтересована предотвратить необдуманные поступки Украины. Все очень сложно. Русский народ не желает Украинцам смерти или подобного. Война как говориться стирает все. ЗА МИР!!!!
@user-sj2yq2dh6r,2022-04-06,2022-04-06T08:57:51Z,"Шоу 44 квартал продолжается! За вас думают, за вас решают, вами манипулируют! Может зеленцы хотят, что бы вы лопнули со злости? Людей с белыми повязками могли &quot;зачистить&quot; только солдаты с синими повязками!"
@user-we7bo5ts4s,2022-04-06,2022-04-06T08:47:14Z,А что же вы Донбасс 8 лет не показывали и молчали как крысы) И это дешманская подделка клоуна из 95 квартала
@Black-tc3gv,2022-04-06,2022-04-06T08:44:23Z,80% факты в этом видео фейки. Внимательно смотрите на видео где в городе трупы. Они в полне живые. Или в Сдэк как дата меняется на записи. Автор будь человеком. Если хочешь добиться правды ищи там где она есть. А так для лайков придумай другой формат
@Revda,2022-04-06,2022-04-06T08:40:23Z,"У преступников нет национальности, они будут наказаны!"
@user-xb2si5nr4r,2022-04-06,2022-04-06T08:36:26Z,Диктатор должен быть казнён
@tomaternik,2022-04-06,2022-04-06T08:33:58Z,"Не знаю зачем, но я читаю комментарии по новым, а не по популярным. И если кто-то делает как я, то у меня вопрос к тем кто повторяет про ложь и фейки, намекает(прямо не говорят) на то что украинцы сами себя убивают. Я понимаю что поверить в такое - очень сложно для тех чей мир развалится если в это поверить.  Я могу понять что верить страшно, но как у вас язык поворачивается говорить хуйню? Страшно? Закройте свои рты. Россия - фашистская страна. И вы тут живёте. Верьте - не верьте: эти люди уже мертвы и все, весь мир знает кто их убил."
@user-qv3mp8hx1o,2022-04-06,2022-04-06T08:30:31Z,Слезы на глазах ком в горле .Нет слов чтобы передать тот ШОК и ужас что испытываешь при виде тех зверств против мирных жителей.За что им ЭТО.!!!!!!!!
@user-un7hl4su9i,2022-04-06,2022-04-06T08:30:04Z,"Самое гнусное- эти ролики смотрят те, кто и раньше был против войны. Путинисты сюда даже не заглядывают. А им бы стоило. Может в мозгах прояснилось бы."
@user-dt9no6mc8j,2022-04-06,2022-04-06T08:28:24Z,"Это наверное САМЫЙ СЛОЖНЫЙ ролик для Максима, сколько раз он почти срывался (чувствовалось по голосу). У меня нет ни слов, ни букв про увиденное. И КАК сейчас могут в РФ говорить про &quot;фейки&quot;????????????????? ................. мне сложно что-то цензурное написать ..................."
@sergeiastapow3181,2022-04-06,2022-04-06T08:24:07Z,А про Донбасс можно услышать?
@user-ry1lb4jp4k,2022-04-06,2022-04-06T08:22:13Z,Как говорят у Станиславского :не верю!!!!
@galaxisun4344,2022-04-06,2022-04-06T08:10:54Z,"Муки, сколько можно лгать?"
@TikaSerg,2022-04-06,2022-04-06T08:06:53Z,Еще поплач на камеру....🤦‍♀️
@BarTaLBi67,2022-04-06,2022-04-06T08:06:06Z,"На <a href=""https://www.youtube.com/watch?v=LrAKhbMCl2k&amp;t=8m25s"">8:25</a> - <a href=""https://www.youtube.com/watch?v=LrAKhbMCl2k&amp;t=8m26s"">8:26</a> &#39;труп&#39; справа поднимает руку с земли на тело, выводы делайте сами"
@user-bv9mq2yq1k,2022-04-06,2022-04-06T08:00:30Z,"Где слова о насилованиях несколько раз женщин? Обезглавление дети, психику поберегли."
@user-ck8kd2ol5p,2022-04-06,2022-04-06T07:52:03Z,"В свободном доступе есть видео, как спецназ ВСУ заходит в Бучу и опрашивает местное население. Никто не сказал, про трупы, ни на одном кадре их нет. <br>А на следующий день появляется видео, где показывают порядка 20 лкжащих черных мешков. Заметьте, через сутки после того, как туда зашёл украинский спецназ. Украинский, а не российский.  И конечно же, виноваты оказались русские, которых там уже 3-4 дня как не было."
@Ole4kaSuper,2022-04-06,2022-04-06T07:36:09Z,"Вами играют ! Скармливают картинки и ужасающие заголовки! Те кто казнят наших пленных всю ночь издеваются над ними ,мучают,пытают до смерти! Это машины для убийств людей! Неважно каких! Им просто нравится убивать! Те кто считает что эти нелюди и есть добро, сами фашисты!"
@rrvabhhkj9437,2022-04-06,2022-04-06T07:26:48Z,"Либеральный пропагандон, тебе вернется вся твоя ложь"
@user-oe3oe7vl5e,2022-04-06,2022-04-06T07:25:08Z,Не верю!
@user-hr6zr9ex2q,2022-04-06,2022-04-06T07:23:45Z,Не неси ху..ню..
@Bleyton2008,2022-04-06,2022-04-06T07:14:12Z,"Отметится лайком, если от холдика"
@katrinku3615,2022-04-06,2022-04-06T07:03:02Z,"не скажу за европейцев, а вот украинцы, которые по-настоящему любят свою страну, людей, могут задаться неудобными вопросами, откуда в городе, оставленном русскими несколько дней назад, свежие пятна крови..."
@user-sy7zr4jn7o,2022-04-06,2022-04-06T06:54:40Z,"Всё это ложь! Есть  доказательства, что это военные преступления нацистов ВСУ. Они на протяжении 8 лет обстреливали территорию Донбасса и именно по мирным жителям. Все новости это фэйк."
@user-ru9pl6bd9e,2022-04-06,2022-04-06T06:49:15Z,"Балабол. А где же доказательства? А вот как вы. Перерезает горло. Российским военным, а как вы долбили Донбасс 8 лет? Где ты был, че молчал? А это все Фейки. Привет"
@alex_petrovf,2022-04-06,2022-04-06T06:46:51Z,"Вот кому верить... Считал этот канал более менее не предвзятым. Но тут тоже ложь и думаю осознаная. Привожу аргумент.  Автор показывает разбитый ангар мрии. Разрушенный самолёт. Обзор площадки.. Переживания пилота.. Но почему это отличается так сильно от ранее сделаных съёмок, DW помоему. На расстоянии нескольких метров от самолёта мы видим нехилое такое орудие... И оно явно не выпало из самолёта. Какой вывод? Его убрали и подготовили правдивый  репортаж. Каждый может убедиться сам в правдивости моих слов. Даже ссылку давать не буду. Это есть в сети. Просто посмотрите сами. После этого большой вопрос к автору в объективности всего материала в целом. Причём я не оправдываю происходящее.. Просто зачем делать такие запоздалые съёмки? В сети есть видео, гуглится легко  как военные всу передвигаются на машине скорой помощи.  И это попадает в кадр канала альджазира.. Не могу сказать фейк это или нет, судите сами."
@sumer4823,2022-04-06,2022-04-06T06:33:31Z,в Мариуполе картина ещё страшнее
@user-fh4bn6ye4k,2022-04-06,2022-04-06T06:32:35Z,"Я оставила вашу подписку, а теперь думаю стоит ли . Сейчас есть разоблачение, не те которые вы показали, конечно, что происходит ужасно, но как говорится « держи ноги в тепле , а в голову на холоде». проанализируйте , как вы до этого умели , и сделайте выводы, такое ощущение , со вы тоже становитесь пропагандистом, а надо оставаться журналистом с фактами"
@tanyasergeeva37,2022-04-06,2022-04-06T06:26:56Z,"У вас трупы ожили, поздравляю"
@user-kx4rp2lv7q,2022-04-06,2022-04-06T06:26:15Z,"Доказательств нет, фейк, а вот аллея ангелов в Донбассе факт"
@nnnbitan,2022-04-06,2022-04-06T06:21:51Z,"Что я могу сделать чтобы помочь Украине😢🇰🇿✊🇺🇦❤ Мы отправляем гуманитарную помощь, народ собирает деньги, также я каждый день молюсь Богу, чтобы война скорее завершилась победой Украины. Потому что страшно от мысли что эта армия извергов и мразей победит- это конец всему миру. А еще некоторые русские уверены что это украинцы сами свои города бомбят, рушат свои дома и больницы,  убивают свое население завязав им руки, насилуют  своих жен и детей лишь бы  провоцировать русских. Омерзительнее этой лжи не слышали. Буду распространять этот ролик у себя в Казахстане, также показать  казахстанским русским, кто за войну и путлера."
@erlikzhakipov9488,2022-04-06,2022-04-06T06:20:01Z,😭😭😭😭😭😭😭😭😭😭😭😭😭😭
@user-tj4gh1ic9o,2022-04-06,2022-04-06T06:16:14Z,"Не претендую ни на чью сторону: почему все фото постановочные и постфактум, а например расстрел наших пленных живые снятые в реальном времени. И у Каца уже был об этом ролик, или я пропустил?"
@nnnbitan,2022-04-06,2022-04-06T06:13:29Z,"Плачет не только Украина, но и мы из Казахстана 😥😢🥺😢🥺😢🥺😢 Какая боль какое  горе😥😢🥺😥🥺😢🇺🇦🇰🇿✊🇺🇦😥🥺😢"
@CorrespondentRP312,2022-04-06,2022-04-06T05:59:43Z,"Лож , обман и провокация"
@user-ck8kd2ol5p,2022-04-06,2022-04-06T05:53:34Z,"Очередной нацистский фейк, как и с авиаударом по роддому в Мариуполе. Там тоже вышел душещипательный ролик, что русские агрессоры разбомбили роддом. <br>А потом главная героиня ролика в инстаграмме это всё сама опровергла."
@Skayn3,2022-04-06,2022-04-06T05:53:26Z,Мне кажется даже немцы себе такого себе не позволяли
@sergeypushkarev4228,2022-04-06,2022-04-06T05:50:51Z,Это надо показывать по первому федеральному. Может зомби очнуться наконец!
@olgatomenko1828,2022-04-06,2022-04-06T05:50:21Z,"Виправдовувати артилеристів не треба. Мені от якось байдуже, що думає і як себе виправдовує нелюд, який стріляє по наших домах. Виконуєш злочинний наказ - вбивця. Людина думає, а не бездумно виконує"
@user-ny9ko3so6n,2022-04-06,2022-04-06T05:42:48Z,Удаляющий комментарии наглый лжец!
@pustotamir6214,2022-04-06,2022-04-06T05:40:32Z,Блогер смотри язык отсохнет от лжи
@illuminaty06051976,2022-04-06,2022-04-06T05:27:23Z,"Где доказательства неопровержимые, что это российские солдаты сотворили? Вы знаете, что существуют провокации? Почему Вы так однозначно утверждаете, что это русская армия? Зачем они оставили тела на дорогах валяться? Чтобы потом началось то, что началось? Они дебилы?? Свою позицию я высказываю однозначно.Я против войны на Украине.Но я не поверю, пока мне не докажут.Среди всех есть звери..."
@user-rc8bq4wg7x,2022-04-06,2022-04-06T05:23:52Z,Боже 😪
@user-kc1hw2mn2p,2022-04-06,2022-04-06T05:22:03Z,Это все враньё. Зачем фейки делать?
@user-rb6wk7wq2l,2022-04-06,2022-04-06T05:14:06Z,Как???? Как это возможно???? Сердце кровью обливается.. Волосы дыбом стоят..Буча.. Ирпень..Бородянка...<br>За что????? Бедные люди..
@rodosha,2022-04-06,2022-04-06T05:03:16Z,Сейчас ужасает фраза &quot;всё самое страшное впереди&quot;
@user-my7ve8nc1o,2022-04-06,2022-04-06T04:52:54Z,"Надо показывать,Максим, надо!"
@S3G4L,2022-04-06,2022-04-06T04:38:54Z,Спасибо что не молчите
@slavaslavkin7654,2022-04-06,2022-04-06T04:32:21Z,А когда кац покажет кадры добивания российских военных украинскими карателями? Когда поговорит за &quot;нормы морали&quot; с украинской стороны?
@slavaslavkin7654,2022-04-06,2022-04-06T04:13:36Z,"Кац, а что по поводу нестыковок  в истории в Буче? Как насчет того что трупов до появления ВСУ в Буче никто не видел включая мэра города?"
@undeadok9428,2022-04-06,2022-04-06T04:04:14Z,"Китайские СМИ назвали события в Буче инсценировкой и «дешевой» попыткой дискредитировать РФ. В эфире телеканала Phoenix TV военный обозреватель и профессор Сун Чжунпин заявил: «Зеленский — актёр, делающий то, чему актёров обучают»."
@user-gt8mg1he3i,2022-04-06,2022-04-06T03:53:28Z,"ЗАЧЕМ РУССКИМ УБИВАТЬ МИРНЫХ ГРАЖДАН???  САМИМ СЕБЕ НАВРЕДИТЬ, ИСПОРТИТЬ СЕБЕ РЕПУТАЦИЮ??? ЭТО ВСЕ ПРОВОКАЦИЯ ЧИСТОЙ ВОДЫ."
@Miller-bt4jw,2022-04-06,2022-04-06T03:40:15Z,"А теперь включите свою Тупую голову, и скажите мне! Почему США и другие страны не помогают Украине физически? А только морально? Почему многие страны гонят на Россию и не предоставляют фактов?"
@kz-qg6yp,2022-04-06,2022-04-06T03:29:53Z,Президент актёр и вся страна кино снимает. Причём хреновое кино!
@ShantellMur,2022-04-06,2022-04-06T03:19:47Z,Эти люди были среди нас. Зверьё.
@user-iz9kf6rl5g,2022-04-06,2022-04-06T03:10:51Z,!!!!!!!!!!!!!!
@Onmorality,2022-04-06,2022-04-06T02:48:33Z,"Телевизор украли, вот п****ж же чистой воды. Конечно, солдатам во время боевых действий заняться же больше нечем, как телевизоры воровать, да и куда они его денут на танке или бтре б***ь повезут? Про Бучу. Презумпция невиновности не, не слышали? Без всяких расследований, экспертиз сразу же находят виновную сторону, смешно просто. Обычная провокация, для того чтобы получить ещё больше оружия от Европки. Никакой нормальной гум помощи от Европы нет и не будет, зато оружие поставляют. Когда вы видите, что дерутся два человека, вы их разнимать будете? Или дадите дубинку, чтобы конфликт ещё больше разгорелся?))  Граждане, начните хоть немного своим серым веществом думать."
@user-nv4ku4sz4n,2022-04-06,2022-04-06T02:35:47Z,"Что за бред ни когда мужчины в современном мире солдаты не будут насиловать женщин и детей . Не Путин , а рассказы такие для разлада между людьми и это слова власти"
@oksana92minko95,2022-04-06,2022-04-06T02:17:41Z,Слышь недоэксперт?! Ты несешь какую то чушь. Это нацики ваши творят дичь всякую.
@zuzu3708,2022-04-06,2022-04-06T01:47:03Z,"Я виноват. И мне непросто, Господи! Спаси и сохрани нас всех!"
@4etvertyu,2022-04-06,2022-04-06T01:41:58Z,Ты стоишь и тупо пытаешь дурить людей своеим мнением в 21 веке. Вот что я вижу. К сожалению я пока не поиму где правда Россия это сделал или Украина. И скорее так и будет мы не узнаем кто это сделал. Но по логике вещей я не верю что это Россия но вижу что ты просто пропогандон
@katyapodryadchikova862,2022-04-06,2022-04-06T01:19:55Z,"Боже, я плачу😭😭😭"
@igorm500,2022-04-06,2022-04-06T00:51:58Z,"Тарас Березовец сказал, что основную бригаду головорезов из Бучи, по сведениям разведки, решили бросить обратно в Украину практически без отдыха. Обычно так не делают. Похоже, их хотят по-тихому &quot;утилизировать&quot;. Все их имена установлены и выложены."
@vladsovet4517,2022-04-06,2022-04-06T00:39:19Z,"В первый день было шоковое состояние на много дней, а теперь шок даже сильнее чем тогда… Отвратительно"
@Samozvanec,2022-04-06,2022-04-06T00:23:07Z,Кто в этот бред может поверить?
@user-gx2pj3pl5j,2022-04-06,2022-04-06T00:12:46Z,"Эти кадры с убитыми, украинцы сами показывали, чтр наши русские солдаты лежат, не надо все валить на русских, Льжь!"
@user-yw5rl6yw2w,2022-04-06,2022-04-06T00:08:54Z,УКРАИНА ВАМ ВСЕ ВЕРНЕТ. ЖДИТЕ
@corthsk,2022-04-06,2022-04-06T00:08:37Z,Он тоже на этот пиздёж купился?
@user-gx2pj3pl5j,2022-04-06,2022-04-06T00:06:01Z,"Какая ложь, куда они понесут телевизоры... Пиздешь!!! Даже смотреть этот фейк не хочу"
@oleghammer9779,2022-04-06,2022-04-06T00:03:19Z,Говорите хоть правду уважение!
@sergeymaslow9403,2022-04-06,2022-04-06T00:02:42Z,"В Германии третьего рейха обычные люди были уверены в своей праведности. Они были окружены врагами, они были обижены утерянным статусом великой нации. Они были переполнены ненавистью к их соседям, к евреям, коммунистам. Они хотели взять реванш, перестроить мир, вернуть их утерянный статус.<br><br>Весь мир объединился против них тогда. <br><br>В Путинской России обычные люди уверены в том, что они правы. Россия окружена врагами, а распад СССР Путин назвал величайшей геополитической катастрофой 20го века. Общество переполненно ненавистью к соседям, либералам, националистам. Россия хочет вернуть статус некогда великой державы, она хочет перестроить мир.<br><br>Весь мир сейчас против неё. Z."
@sini4ka_81,2022-04-06,2022-04-06T00:02:25Z,"Парадокс в том что Россия всегда была такой страной с преимущественным содержанем в ней не граждан, а подонков и все преступления ей сходили с рук, надеюсь что не в этот раз."
@elenaelena8833,2022-04-06,2022-04-06T00:00:38Z,Автор канала скоро на Колыму поедет 😂
@user-ms8yf9yq5u,2022-04-06,2022-04-06T00:00:11Z,"Абсолютно не удивлён, что любитель собак под хвост собрал всё фейки в ряд и транслирует это с серьёзной миной. Нацисты убивают свой же народ, но снимают кинцо на потеху толпе очерняя российскую армию. Что во главе страны клоун, что народ тупорылый"
@rusnepizda,2022-04-05,2022-04-05T23:54:43Z,"Максим,громкое  вам огромное человеческое спасибо ! Что открываете глаза русским !"
@kaiseralexey3652,2022-04-05,2022-04-05T23:43:58Z,"Надеюсь что до всех дойдёт что произошло, А все ответственные за это понесут суровое и справедливое наказание в Гааге"
@ololosh4258,2022-04-05,2022-04-05T23:43:48Z,"Так нацисты и убили, русских подставили. Или не?"
@user-pr6he2nc7z,2022-04-05,2022-04-05T23:43:45Z,Луганская область никому была не нужна?!?
@RogerWilco1990,2022-04-05,2022-04-05T23:43:08Z,"Знаете...Переполняют боль и ярость. В остальном... В душе, как-то пусто стало. Как в холодную воду окунули. Вера в человеческую доброту и душу пропала. И то место, где должно биться сердце, сейчас уже, пожалуй, ничего нет. После такого, думаю, пленных вряд ли будут брать. И правильно. Это не люди. Это не животные. Это монстры, которым чуждо всё человеческое. В жизни никому зла не желал, но теперь всё перевернулось. Тут обратного пути уже нет и не будет. После такого, уже никто никого никогда не простит."
@user-us5fd4ud8b,2022-04-05,2022-04-05T23:36:13Z,"Отрабатывает деньги чувачок<br>... Убедительности мало, но для доверчивых достаточно <br>... А Российским войскам урок : надо фиксировать всё самим...."
@mariaterra9961,2022-04-05,2022-04-05T23:34:12Z,"Спасибо за то, что не боитесь говорить"
@tlatovalarisa704,2022-04-05,2022-04-05T23:33:04Z,"Одному Богу всё известно,ему всё видно.Да накажет Бог  тех,кто ВПРАВДУ это сделал!!!И тех,кто распространяет чёрную ложь!!!! Аминь, аминь,аминь."
@andrey98rus,2022-04-05,2022-04-05T23:14:42Z,"&quot;Кац не ранен,  Кац только контужен&quot; ©"
@tlatovalarisa704,2022-04-05,2022-04-05T23:06:21Z,"Найдите срочно тех,кто под видом российских военных это всё творит!!!!!Бог всё видит!!!!!В аду пощады не будет!!!!!"
@alekseyaleksey7833,2022-04-05,2022-04-05T23:05:58Z,"Жалко что всеравно что бы не случилось, как бы не было что то плохо сделано Россией... Пропаганда настолько съела всех Россиян что их мозг не способен верить ни во что кроме того что им рассказывают в Россие. Как я любил Россию и как теперь ненавижу"
@kurbanovm,2022-04-05,2022-04-05T22:59:06Z,Они ещё имеют наглость детей в России заставлять выстраиваться буквой Z. Гаага ждёт.
@alekseyaleksey7833,2022-04-05,2022-04-05T22:56:25Z,Спасибо вам за то что говорите правду!!!
@openmind6282,2022-04-05,2022-04-05T22:51:47Z,"Какое зверство, какой позор <br>Бедные бедные люди <br>Сколько ещё крови прольётся, какая боль"
@alexsandrbulkin5181,2022-04-05,2022-04-05T22:48:13Z,Вперёд РОССИЯ!!!!!!
@viktiriakim7144,2022-04-05,2022-04-05T22:47:01Z,У Вас есть доказательства что это Русские сделали????? Почему у всех погибших были белые повязки на руках????
@jeanie6936,2022-04-05,2022-04-05T22:41:40Z,"Президент России Владимир Путин является военным преступником. То, что произошло в Буче, возмутительно, и мир это видел."
@marinaevans716,2022-04-05,2022-04-05T22:32:06Z,"Блеск,Махим!!!<br>Спасибо,береги себя!!!"
